baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
567.8539491083671,-6.187077577315635,0.24158116731732476,-25.61076116164596,1.1576440504792735e-144,1.8780459430925253e-140,CHRNA1
80.91945526815549,-7.962417644992717,0.36586654528210777,-21.76317498188624,5.183244171321298e-105,4.2043885095672714e-101,CHRNG
284.5015936522264,-7.550094095326931,0.34744900348054025,-21.730078427897382,1.0661990214545583e-104,5.765648908352434e-101,SYNPO2
1336.9355651059814,-7.659956416599112,0.3619060631312683,-21.165592945097305,1.98252978272034e-99,8.040645166268019e-96,ACTC1
167.85249023365463,-6.909449153685448,0.3385903469635421,-20.406515471126017,1.4635412189979792e-92,4.7486058391608434e-89,KLHL41
319.23437855016965,-3.9861202708955634,0.19841416950308702,-20.08989721287796,9.044912354624878e-90,2.4455935521513235e-86,STAT2
212.80490710798537,-4.612456379655224,0.23385986602152187,-19.72316352576181,1.364228130364223e-86,3.161696136985541e-83,BLCAP
323.0304176802344,-4.576349320766414,0.24002962145195572,-19.065769020855683,4.86078591487696e-81,9.857066237131114e-78,SLF2
280.99970288985617,-3.850637966217794,0.20341441451967393,-18.930015236680124,6.454370440639728e-80,1.16343612953887e-76,NES
222.54158199721536,-4.8955611658352725,0.26282827137606724,-18.626463356487513,1.9605931825448036e-77,3.180670320042435e-74,PDCD4
718.7852714520662,-4.270238860797819,0.23464140785892004,-18.19899948505821,5.255898386134327e-74,7.751494501659744e-71,ANKRD10
216.84771247146685,-3.573764033888663,0.1982760129664198,-18.024187497122604,1.2584722247152308e-72,1.7013495751295993e-69,ZFP36L1
106.68696653543647,-5.863439953918317,0.32925454295656076,-17.808227948101216,6.101102895284736e-71,7.61370709770802e-68,MAF
100.43417070691488,-7.686087180725392,0.43433957223640096,-17.696032487092914,4.499082749618541e-70,5.213472817647257e-67,H19
75.50522201892085,-4.917313753485752,0.2802241073389853,-17.54778987497071,6.184002500532354e-69,6.688204837742424e-66,TCEA3
178.0479364712281,-5.210057804224831,0.2979645551912107,-17.485495215635353,1.8480063459811911e-68,1.873762934428304e-65,IGDCC4
126.73556329829887,-5.321773629455096,0.3079247207313257,-17.28270993253093,6.349344860379702e-67,6.0591424511729356e-64,ASS1
1438.402787727938,-3.5058191012354247,0.20330127747074145,-17.244451903357923,1.2317533105186248e-66,1.1101518864746473e-63,CALM1
93.45271193551922,-5.023004650398701,0.2918509403879711,-17.210856486264483,2.201515529877766e-66,1.8797466548003683e-63,SERPINF1
351.651919387083,-3.015759143908538,0.17526534058867527,-17.206819863980574,2.3604318482467589e-66,1.9146642937053584e-63,PSME1
119.80877975923269,-3.2377334095613106,0.1916051824911604,-16.897942777255942,4.6587896226216305e-64,3.599025907037653e-61,IFI6
302.59036658325056,-3.3408924631705466,0.20143444675505615,-16.58550718106851,8.871359697457256e-62,6.5418212896295025e-59,C4orf3
90.65275963637104,-3.9123065469094818,0.2372454656967081,-16.490542971687095,4.290762286075873e-61,3.026479850739517e-58,SIX1
102.70131714796013,-6.635605171611274,0.4028028578755903,-16.4735801692369,5.68066377145941e-61,3.839892015182751e-58,TNNT2
109.0256922962715,-3.848723207995724,0.23471209165687915,-16.39763499539723,1.988290556176687e-60,1.2902415077141757e-57,SLC38A6
30.229534678977178,-7.84173044361752,0.48689594074319775,-16.105557240111523,2.3318778938163764e-58,1.4550021181301183e-55,SHD
21.51636693043061,-7.190631946498596,0.44653518908086093,-16.103169744135165,2.4236390217373692e-58,1.4562479944313089e-55,MYMX
82.34332063760371,-5.640458571667014,0.35070447493824314,-16.083223838704264,3.345089764524885e-58,1.9381211160674003e-55,SERPINB9
173.5898716442072,-4.284244178456884,0.2692865728368198,-15.909609355283441,5.435156196299196e-57,3.040501343881443e-54,CKB
70.49517405448483,-4.432723676650204,0.28655655583038403,-15.468931303299101,5.623284790578268e-54,3.040884971918375e-51,CD82
293.2551796527884,-4.7440387280043055,0.30775091126236653,-15.415189864246658,1.2939001725648325e-53,6.771271774038477e-51,EGR1
214.27230102319473,-3.7222641425494487,0.24164651508052895,-15.403756769713812,1.5443063460237486e-53,7.829150578607273e-51,BTG1
51.241817116390656,-4.4742152069901895,0.29103361653644955,-15.373534027571111,2.4635653295122337e-53,1.2111036466871809e-50,TNNT1
66.78573760765991,-7.006091823478202,0.45859010499258285,-15.277459646870307,1.0807214314628464e-52,5.156630524300517e-50,ADAMTS5
65.85473414981453,-5.146042219818744,0.3390056905466934,-15.179810732734433,4.8116813160313315e-52,2.230283028285037e-49,DUSP4
44.76173433550594,-3.831793192901908,0.252503394972751,-15.17521454836446,5.160871548758678e-52,2.32568942043089e-49,MDK
19.06145012383509,-5.295080994418372,0.35579738310139103,-14.882293254274558,4.295206988910934e-50,1.8832741346243808e-47,PBXIP1
102.64769882087563,-5.363419681882066,0.3626194366083043,-14.790767235335888,1.6802748256601514e-49,7.173446972811747e-47,OLFML2B
91.64245195678332,-3.689533947567403,0.24951705273672012,-14.786700576575196,1.7849146975340294e-49,7.424787471306297e-47,ECH1
16.154738279109928,-6.901467605664,0.46737485291424513,-14.766450446854263,2.4107944565339554e-49,9.777579617087589e-47,FITM1
228.0358278945843,-2.8257775119947217,0.19197083570321952,-14.719827111464364,4.808881757836564e-49,1.9027924087166485e-46,NPEPPS
323.8214994517367,-3.5119647067640183,0.2451785332889952,-14.324111738707641,1.5469331520679279e-46,5.975213458570951e-44,SULF1
206.70984640391336,-2.9641619145570774,0.20708125007353625,-14.314004350970835,1.789080458288358e-46,6.749826110421402e-44,JAM3
