"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,6.83058376936078e-103,4721,4284,1518,0.354341736694678,0.321542046176657,"GO:0019538","GO:BP","protein metabolic process",21026,5841,"GO:0043170,GO:0044238"
"query_1",TRUE,3.125598520513e-82,5390,4284,1614,0.376750700280112,0.299443413729128,"GO:0080090","GO:BP","regulation of primary metabolic process",21026,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,1.90664651470554e-72,3594,4284,1156,0.26984126984127,0.321647189760712,"GO:0006996","GO:BP","organelle organization",21026,2598,"GO:0016043"
"query_1",TRUE,6.42339132339633e-66,5920,4284,1679,0.391923436041083,0.283614864864865,"GO:0048522","GO:BP","positive regulation of cellular process",21026,12638,"GO:0009987,GO:0048518,GO:0050794"
"query_1",TRUE,1.27216165364682e-60,6264,4284,1736,0.405228758169935,0.277139208173691,"GO:0048518","GO:BP","positive regulation of biological process",21026,12634,"GO:0008150,GO:0050789"
"query_1",TRUE,1.17767769308494e-59,1830,4284,667,0.155695611577965,0.36448087431694,"GO:0033554","GO:BP","cellular response to stress",21026,8226,"GO:0006950,GO:0051716"
"query_1",TRUE,1.1926010194918e-58,1855,4284,671,0.156629318394024,0.361725067385445,"GO:0051246","GO:BP","regulation of protein metabolic process",21026,13411,"GO:0019538,GO:0060255,GO:0080090"
"query_1",TRUE,7.5084254386425e-58,2639,4284,873,0.203781512605042,0.330807123910572,"GO:0009056","GO:BP","catabolic process",21026,3218,"GO:0008152"
"query_1",TRUE,1.74664004592478e-56,1381,4284,535,0.124883286647993,0.387400434467777,"GO:0046907","GO:BP","intracellular transport",21026,12264,"GO:0006810,GO:0051641,GO:0051649"
"query_1",TRUE,2.91423913884624e-54,7035,4284,1879,0.438608776844071,0.267093105899076,"GO:0019222","GO:BP","regulation of metabolic process",21026,5569,"GO:0008152,GO:0050794"
"query_1",TRUE,3.64256106893117e-53,1417,4284,537,0.125350140056022,0.378969654199012,"GO:0009057","GO:BP","macromolecule catabolic process",21026,3219,"GO:0009056,GO:0043170"
"query_1",TRUE,1.75565050615134e-52,3597,4284,1091,0.254668534080299,0.303308312482624,"GO:0009893","GO:BP","positive regulation of metabolic process",21026,3738,"GO:0008152,GO:0019222,GO:0048522"
"query_1",TRUE,3.88932177841973e-52,3661,4284,1105,0.257936507936508,0.301830101065283,"GO:0051641","GO:BP","cellular localization",21026,13664,"GO:0009987,GO:0051179"
"query_1",TRUE,2.55924950307453e-50,3030,4284,946,0.220821661998133,0.312211221122112,"GO:0043412","GO:BP","macromolecule modification",21026,10582,"GO:0043170"
"query_1",TRUE,8.29356425979563e-50,3288,4284,1007,0.235060690943044,0.306265206812652,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21026,4234,"GO:0009893,GO:0043170,GO:0060255"
"query_1",TRUE,3.01375871462817e-49,2846,4284,897,0.209383753501401,0.315179198875615,"GO:0036211","GO:BP","protein modification process",21026,9413,"GO:0019538,GO:0043412"
"query_1",TRUE,1.38681283291019e-47,3990,4284,1166,0.272175536881419,0.292230576441103,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21026,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,8.0269449397033e-47,2782,4284,873,0.203781512605042,0.313803019410496,"GO:0070727","GO:BP","cellular macromolecule localization",21026,16048,"GO:0033036,GO:0051641"
"query_1",TRUE,2.50006390181403e-46,3228,4284,980,0.228758169934641,0.30359355638166,"GO:0033036","GO:BP","macromolecule localization",21026,7939,"GO:0051179"
"query_1",TRUE,1.15691290656876e-45,2770,4284,866,0.202147525676937,0.312635379061372,"GO:0008104","GO:BP","protein localization",21026,3109,"GO:0070727"
"query_1",TRUE,2.72203591549536e-44,6492,4284,1717,0.400793650793651,0.264479359211337,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",21026,14264,"GO:0019222,GO:0043170"
"query_1",TRUE,4.24167462823177e-44,727,4284,316,0.0737628384687208,0.434662998624484,"GO:0006412","GO:BP","translation",21026,2162,"GO:0009059,GO:0010467,GO:0019538"
"query_1",TRUE,1.57645387282518e-43,2010,4284,668,0.155929038281979,0.332338308457711,"GO:0051649","GO:BP","establishment of localization in cell",21026,13672,"GO:0051234,GO:0051641"
"query_1",TRUE,2.04584468866222e-43,12342,4284,2919,0.681372549019608,0.236509479824988,"GO:0044238","GO:BP","primary metabolic process",21026,10839,"GO:0008152"
"query_1",TRUE,5.72889156495455e-43,2965,4284,904,0.211017740429505,0.304890387858347,"GO:0035556","GO:BP","intracellular signal transduction",21026,9022,"GO:0007165"
"query_1",TRUE,4.96364168348471e-42,11946,4284,2835,0.661764705882353,0.237317930688096,"GO:0050794","GO:BP","regulation of cellular process",21026,13090,"GO:0009987,GO:0050789"
"query_1",TRUE,6.94117264524634e-42,1040,4284,403,0.0940709617180205,0.3875,"GO:0009894","GO:BP","regulation of catabolic process",21026,3739,"GO:0009056,GO:0019222"
"query_1",TRUE,1.49226644395008e-41,3948,4284,1132,0.264239028944911,0.286727456940223,"GO:0006950","GO:BP","response to stress",21026,2571,"GO:0050896"
"query_1",TRUE,1.11358289623895e-40,12743,4284,2984,0.696545284780579,0.234167778388135,"GO:0065007","GO:BP","biological regulation",21026,15666,"GO:0008150"
"query_1",TRUE,4.2735913704349e-40,3687,4284,1065,0.24859943977591,0.288852725793328,"GO:0051252","GO:BP","regulation of RNA metabolic process",21026,13417,"GO:0016070,GO:0019219,GO:0060255"
