"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,2.75157051323033e-52,4721,2413,861,0.356817239950269,0.182376615123914,"GO:0019538","GO:BP","protein metabolic process",21026,5841,"GO:0043170,GO:0044238"
"query_1",TRUE,1.06475223533702e-38,3594,2413,663,0.274761707418152,0.184474123539232,"GO:0006996","GO:BP","organelle organization",21026,2598,"GO:0016043"
"query_1",TRUE,1.86982467349366e-36,1855,2413,402,0.166597596353087,0.216711590296496,"GO:0051246","GO:BP","regulation of protein metabolic process",21026,13411,"GO:0019538,GO:0060255,GO:0080090"
"query_1",TRUE,8.58268452222457e-36,5920,2413,959,0.397430584334853,0.161993243243243,"GO:0048522","GO:BP","positive regulation of cellular process",21026,12638,"GO:0009987,GO:0048518,GO:0050794"
"query_1",TRUE,1.5228232653443e-35,5390,2413,890,0.368835474513054,0.165120593692022,"GO:0080090","GO:BP","regulation of primary metabolic process",21026,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,3.19978608384411e-35,1830,2413,394,0.163282221301285,0.215300546448087,"GO:0033554","GO:BP","cellular response to stress",21026,8226,"GO:0006950,GO:0051716"
"query_1",TRUE,7.72314951331112e-32,3661,2413,647,0.268130957314546,0.176727670035509,"GO:0051641","GO:BP","cellular localization",21026,13664,"GO:0009987,GO:0051179"
"query_1",TRUE,1.62208517030961e-31,6264,2413,984,0.407791131371736,0.157088122605364,"GO:0048518","GO:BP","positive regulation of biological process",21026,12634,"GO:0008150,GO:0050789"
"query_1",TRUE,1.63058437719632e-31,1381,2413,313,0.129714048901782,0.22664735698769,"GO:0046907","GO:BP","intracellular transport",21026,12264,"GO:0006810,GO:0051641,GO:0051649"
"query_1",TRUE,5.53862001218521e-30,5629,2413,897,0.371736427683382,0.159353348729792,"GO:0048523","GO:BP","negative regulation of cellular process",21026,12639,"GO:0009987,GO:0048519,GO:0050794"
"query_1",TRUE,5.53862001218521e-30,1663,2413,353,0.146290924160796,0.212266987372219,"GO:0007049","GO:BP","cell cycle",21026,2636,"GO:0009987"
"query_1",TRUE,5.53862001218521e-30,5834,2413,923,0.382511396601741,0.158210490229688,"GO:0048519","GO:BP","negative regulation of biological process",21026,12635,"GO:0008150,GO:0050789"
"query_1",TRUE,8.03046254197706e-30,727,2413,198,0.0820555325321177,0.272352132049519,"GO:0006412","GO:BP","translation",21026,2162,"GO:0009059,GO:0010467,GO:0019538"
"query_1",TRUE,1.70495903369724e-29,3948,2413,676,0.280149191877331,0.171225937183384,"GO:0006950","GO:BP","response to stress",21026,2571,"GO:0050896"
"query_1",TRUE,8.27476845080237e-29,3597,2413,626,0.259428097803564,0.174033917153183,"GO:0009893","GO:BP","positive regulation of metabolic process",21026,3738,"GO:0008152,GO:0019222,GO:0048522"
"query_1",TRUE,4.60589462374621e-28,5555,2413,879,0.364276833816826,0.158235823582358,"GO:0051179","GO:BP","localization",21026,13378,"GO:0008150"
"query_1",TRUE,1.16380962697122e-27,2639,2413,489,0.202652300041442,0.18529746115953,"GO:0009056","GO:BP","catabolic process",21026,3218,"GO:0008152"
"query_1",TRUE,4.22622517574193e-27,3228,2413,569,0.23580605055947,0.176270136307311,"GO:0033036","GO:BP","macromolecule localization",21026,7939,"GO:0051179"
"query_1",TRUE,1.23358542108513e-26,2433,2413,456,0.188976377952756,0.187422934648582,"GO:0051128","GO:BP","regulation of cellular component organization",21026,13332,"GO:0016043,GO:0050794"
"query_1",TRUE,1.51082228296904e-26,2782,2413,505,0.209283050145048,0.181524083393242,"GO:0070727","GO:BP","cellular macromolecule localization",21026,16048,"GO:0033036,GO:0051641"
"query_1",TRUE,1.76744073422688e-26,2770,2413,503,0.208454206382097,0.18158844765343,"GO:0008104","GO:BP","protein localization",21026,3109,"GO:0070727"
"query_1",TRUE,2.47937402240976e-26,3288,2413,574,0.237878159966846,0.174574209245742,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21026,4234,"GO:0009893,GO:0043170,GO:0060255"
"query_1",TRUE,2.75584496068497e-26,165,2413,76,0.031496062992126,0.460606060606061,"GO:0002181","GO:BP","cytoplasmic translation",21026,727,"GO:0006412"
"query_1",TRUE,2.81099217289936e-26,1280,2413,282,0.116866970576046,0.2203125,"GO:0022402","GO:BP","cell cycle process",21026,6561,"GO:0007049,GO:0009987"
"query_1",TRUE,7.18741694796172e-26,1991,2413,389,0.161210111893908,0.19537920642893,"GO:0008219","GO:BP","cell death",21026,3132,"GO:0009987"
"query_1",TRUE,1.89754500541939e-25,1987,2413,387,0.160381268130957,0.194765978862607,"GO:0012501","GO:BP","programmed cell death",21026,4551,"GO:0008219"
"query_1",TRUE,2.38384547456483e-25,2010,2413,390,0.161624533775383,0.194029850746269,"GO:0051649","GO:BP","establishment of localization in cell",21026,13672,"GO:0051234,GO:0051641"
"query_1",TRUE,2.86385242032541e-25,7035,2413,1049,0.434728553667634,0.14911158493248,"GO:0019222","GO:BP","regulation of metabolic process",21026,5569,"GO:0008152,GO:0050794"
"query_1",TRUE,5.28045243078618e-25,1923,2413,376,0.155822627434729,0.195527821112845,"GO:0006915","GO:BP","apoptotic process",21026,2553,"GO:0012501"
"query_1",TRUE,4.49738691282368e-24,1087,2413,245,0.101533360961459,0.225390984360626,"GO:0051726","GO:BP","regulation of cell cycle",21026,13721,"GO:0007049,GO:0050794"
