"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,5.71143850146821e-74,4721,3721,1284,0.345068529965063,0.271976276212667,"GO:0019538","GO:BP","protein metabolic process",21026,5841,"GO:0043170,GO:0044238"
"query_1",TRUE,5.51519921286963e-65,5920,3721,1495,0.401773716742811,0.252533783783784,"GO:0048522","GO:BP","positive regulation of cellular process",21026,12638,"GO:0009987,GO:0048518,GO:0050794"
"query_1",TRUE,1.54025905828731e-61,3594,3721,1008,0.270894920720237,0.280467445742905,"GO:0006996","GO:BP","organelle organization",21026,2598,"GO:0016043"
"query_1",TRUE,5.69456947103401e-61,6264,3721,1547,0.415748454716474,0.246966794380587,"GO:0048518","GO:BP","positive regulation of biological process",21026,12634,"GO:0008150,GO:0050789"
"query_1",TRUE,7.97764263674101e-60,5390,3721,1371,0.368449341574845,0.254359925788497,"GO:0080090","GO:BP","regulation of primary metabolic process",21026,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,1.39303424154794e-51,1830,3721,585,0.157215802203709,0.319672131147541,"GO:0033554","GO:BP","cellular response to stress",21026,8226,"GO:0006950,GO:0051716"
"query_1",TRUE,1.48871162582923e-50,2639,3721,766,0.205858640150497,0.290261462675256,"GO:0009056","GO:BP","catabolic process",21026,3218,"GO:0008152"
"query_1",TRUE,2.96119830183336e-50,3597,3721,971,0.260951357162053,0.269947178204059,"GO:0009893","GO:BP","positive regulation of metabolic process",21026,3738,"GO:0008152,GO:0019222,GO:0048522"
"query_1",TRUE,5.80742336728318e-47,1855,3721,578,0.155334587476485,0.311590296495957,"GO:0051246","GO:BP","regulation of protein metabolic process",21026,13411,"GO:0019538,GO:0060255,GO:0080090"
"query_1",TRUE,5.51002009002298e-46,3288,3721,891,0.239451760279495,0.270985401459854,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21026,4234,"GO:0009893,GO:0043170,GO:0060255"
"query_1",TRUE,3.94212231610583e-44,1381,3721,458,0.123085192152647,0.331643736422882,"GO:0046907","GO:BP","intracellular transport",21026,12264,"GO:0006810,GO:0051641,GO:0051649"
"query_1",TRUE,5.99754370467565e-42,1417,3721,461,0.123891427035743,0.325335215243472,"GO:0009057","GO:BP","macromolecule catabolic process",21026,3219,"GO:0009056,GO:0043170"
"query_1",TRUE,3.65155458369692e-40,7035,3721,1609,0.432410642300457,0.228713574982232,"GO:0019222","GO:BP","regulation of metabolic process",21026,5569,"GO:0008152,GO:0050794"
"query_1",TRUE,1.74745342508634e-37,3030,3721,806,0.216608438591776,0.266006600660066,"GO:0043412","GO:BP","macromolecule modification",21026,10582,"GO:0043170"
"query_1",TRUE,1.81201032335427e-37,11946,3721,2474,0.66487503359312,0.207098610413528,"GO:0050794","GO:BP","regulation of cellular process",21026,13090,"GO:0009987,GO:0050789"
"query_1",TRUE,5.68240639119054e-37,2846,3721,765,0.205589895189465,0.268798313422347,"GO:0036211","GO:BP","protein modification process",21026,9413,"GO:0019538,GO:0043412"
"query_1",TRUE,9.62934654969625e-37,12743,3721,2605,0.70008062348831,0.204425959350232,"GO:0065007","GO:BP","biological regulation",21026,15666,"GO:0008150"
"query_1",TRUE,9.62934654969625e-37,3661,3721,934,0.25100779360387,0.255121551488664,"GO:0051641","GO:BP","cellular localization",21026,13664,"GO:0009987,GO:0051179"
"query_1",TRUE,1.34724410861035e-35,12336,3721,2531,0.680193496371943,0.205171854734112,"GO:0050789","GO:BP","regulation of biological process",21026,13086,"GO:0008150,GO:0065007"
"query_1",TRUE,7.5440778904312e-35,2965,3721,782,0.210158559527009,0.263743676222597,"GO:0035556","GO:BP","intracellular signal transduction",21026,9022,"GO:0007165"
"query_1",TRUE,9.74536535441884e-35,3948,3721,984,0.264445041655469,0.249240121580547,"GO:0006950","GO:BP","response to stress",21026,2571,"GO:0050896"
"query_1",TRUE,1.49614826417409e-34,1663,3721,497,0.133566245632894,0.298857486470235,"GO:0007049","GO:BP","cell cycle",21026,2636,"GO:0009987"
"query_1",TRUE,2.51806895918722e-34,2593,3721,701,0.188390217683418,0.270343231777863,"GO:0010557","GO:BP","positive regulation of macromolecule biosynthetic process",21026,4193,"GO:0009059,GO:0009891,GO:0010556,GO:0010604"
"query_1",TRUE,3.65611600236596e-34,3228,3721,834,0.224133297500672,0.258364312267658,"GO:0033036","GO:BP","macromolecule localization",21026,7939,"GO:0051179"
"query_1",TRUE,7.96417097421071e-34,2696,3721,721,0.193765116904058,0.267433234421365,"GO:0009891","GO:BP","positive regulation of biosynthetic process",21026,3736,"GO:0009058,GO:0009889,GO:0009893"
"query_1",TRUE,9.55122503825024e-34,6553,3721,1487,0.399623757054555,0.226918968411415,"GO:0032502","GO:BP","developmental process",21026,7558,"GO:0008150"
"query_1",TRUE,2.29265448093215e-33,2433,3721,663,0.178177909164203,0.272503082614057,"GO:0051128","GO:BP","regulation of cellular component organization",21026,13332,"GO:0016043,GO:0050794"
"query_1",TRUE,2.8816902231415e-33,6492,3721,1473,0.395861327600108,0.226894639556377,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",21026,14264,"GO:0019222,GO:0043170"
"query_1",TRUE,3.54363407385082e-33,165,3721,101,0.02714324106423,0.612121212121212,"GO:0002181","GO:BP","cytoplasmic translation",21026,727,"GO:0006412"
"query_1",TRUE,7.0164190943653e-33,3990,3721,984,0.264445041655469,0.246616541353383,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21026,5566,"GO:0006139,GO:0080090"
